RULE;IF;THEN;SOLUTION
1;V1, K1, R1, R2, R3, R4;P1, P3, P4, P20;S1, S2, S3, S4
2;V1, K2, R3, R5, R6;P5, P6, P7;S5, S6, S7
3;V1, K3, R7, R8, R9;P8, P9, P10;S8, S9, S10
4;V1, K4, R3, R10, R11;P2, P5, P11;S11, S12, S13
5;V1, K5, R12, R13;P12, P13;S14, S15
6;V1, K6, R14, R15, R16;P14, P15, P16;S16, S17, S18
7;V1, K7, R6, R17;P17, P18;S7, S19
8;V2, K3, R3, R7, R14;P5, P24, P25;S5, S23, S24
9;V2, K7, R6, R17 ;P17, P18;S7, S19
10;V2, K8, R10, R18, R21;P20, P21, P22;S2, S15, S20
11;V2, K9, R2, R3, R11;P2, P3, P5;S4, S5, S21
12;V2, K10, R3, R10, R11;P2, P20, P25;S12, S13, S22
13;V3, K3, R3, R7, R14;P5, P24, P25;S5, S23, S24
14;V3, K7, R6, R17;P17, P18;S7, S19
15;V3, K8, R10, R18, R21;P20, P21, P22;S2, S15, S20
16;V3, K11, R3, R19, R20;P2, P19, P20;S2, S25, S26
17;V3, K12, R22, R23;P5, P23;S10, S27
18;V4, K2, R3, R5, R15;P5, P15, P24;S5, S9, S25
19;V4, K3, R3, R7, R14;P5, P24, P25;S5, S16, S23
20;V4, K10, R3, R10, R11;P2, P20, P25;S11, S12, S13
21;V4, K13, R2, R3, R7;P5, P20, P24;S2, S5, S26
22;V4, K14, R2, R4, R11;P2, P20, P24;S2, S9, S27
23;V5, K2, R3, R5, R15;P5, P15, P24;S5, S9, S25
24;V5, K3, R3, R7, R14;P5, P24, P25;S5, S16, S23
25;V5, K10, R3, R10, R11;P2, P20, P25;S11, S12, S13
26;V5, K13, R2, R3, R7;P5, P20, P24;S2, S5, S26
27;V5, K14, R2, R4, R11;P5, P20, P24;S2, S9, S27
28;V6, K14, R2, R4, R11;P2, P20, P24;S2, S9, S31
29;V6, K15, R3, R10, R11;P2, P20, P26;S2, S9, S28
30;V6, K16, R3, R4, R21;P5, P24, P27;S2, S15, S29
31;V6, K17, R24, R25, R26;P5, P24, P28;S9, S10, S30
32;V6, K18, R27, R28, R29;P28, P29, P30;S10, S32, S33
33;V7, K9, R3, R11, R21;P2, P5, P27;S5, S14, S21
34;V7, K10, R3, R10, R11;P2, P20, P25;S12, S13, S22
35;V7, K14, R2, R4, R11;P2, P20, P24;S2, S27, S34
36;V7, K19, R3, R5, R15;P5, P24, P25;S5, S16, S35
37;V7, K20, R2, R3, R11;P5, P15, P20;S5, S9, S36
38;V8, K10, R3, R10, R11;P2, P20, P25;S11, S12, S13
39;V8, K14, R2, R4, R11;P2, P20, P24;S2, S27, S34
40;V8, K21, R3, R11, R30;P5, P27, P31;S5, S38, S39
41;V8, K22, R3, R11, R30;P5, P27, P31;S5, S37, S39
42;V8, K23, R3, R7, R15;P22, P24, P25;S5, S9, S40
43;V9, K15, R3, R10, R11;P2, P20, P32;S2, S28, S34
44;V9, K25, R6, R31, R32;P5, P25, P37;S5, S7, S10
45;V9, K17, R25, R31, R32;P24, P27, P28;S9, S10, S30
46;V9, K10, R3, R10, R11;P2, P20, P25;S11, S12, S13
47;V9, K14, R2, R4, R11;P2, P20, P24;S2, S27, S34
