No.;Variabel;Keterangan
1;S1;Menyesuaikan NPSH
2;S2;Menggunakan Material Tahan Korosi
3;S3;Menyaring Fluida
4;S4;Mengontrol Suhu Operasi
5;S5;Pelumasan Rutin
6;S6;Penggantian Bearing
7;S7;Monitoring Getaran
8;S8;Pemilihan Material Yang Tepat
9;S9;Pengendalian Beban Operasi
10;S10;Pemeriksaan Rutin
11;S11;Penggantian Seal
12;S12;Penggunaan Seal Yang Sesuai
13;S13;Perawatan Rutin
14;S14;Penggunaan Filter
15;S15;Pembersihan Rutin
16;S16;Penyelarasan Ulang
17;S17;Pengencangan Baut
18;S18;Perbaikan Pondasi
19;S19;Perbaikan Komponen Terkait
20;S20;Penggantian Katup
21;S21;Penggantian Piston
22;S22;Penggantian Seal
23;S23;Penggantian Poros
24;S24;Penyelarasan Ulang
25;S25;Penggantian Bantalan
26;S26;Penggantian Roda Gigi
27;S27;Penggantian Casing
28;S28;Penggantian Selang
29;S29;Penggantian Roller
30;S30;Penggantian Motor
31;S31;Penggantian Komponen
32;S32;Pengendalian Tegangan Operasi
33;S33;Penggantian Sensor
34;S34;Pengendalian Tekanan Operasi
35;S35;Penggantian Slipper
36;S36;Penggantian Pelat Katup
37;S37;Penggantian Rotor
38;S38;Penggantian Stator
39;S39;Penyimpanan Yang Tepat
40;S40;Penggantian Batang Rod
